
  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://10.142.216.198:8501

Database initialized at omr.db
Saved thresholded image at results/thresh_testa.jpg
Saved warped and thresholded images for data/Set A\testa.jpg
Detected 0 bubbles, expected ~400
Sample bubble coordinates: []
Warning: Bubble count 0 out of range, interpolating grid
Debug image saved at results/debug_TestA.jpg
Q1, Opt0: Fill ratio = 0.00
Q1, Opt1: Fill ratio = 0.05
Q1, Opt2: Fill ratio = 0.00
Q1, Opt3: Fill ratio = 0.17
Q2, Opt0: Fill ratio = 0.00
Q2, Opt1: Fill ratio = 0.10
Q2, Opt2: Fill ratio = 0.00
Q2, Opt3: Fill ratio = 0.21
Q3, Opt0: Fill ratio = 0.00
Q3, Opt1: Fill ratio = 0.04
Q3, Opt2: Fill ratio = 0.00
Q3, Opt3: Fill ratio = 0.26
Q4, Opt0: Fill ratio = 0.00
Q4, Opt1: Fill ratio = 0.12
Q4, Opt2: Fill ratio = 0.00
Q4, Opt3: Fill ratio = 0.30
Q5, Opt0: Fill ratio = 0.00
Q5, Opt1: Fill ratio = 0.13
Q5, Opt2: Fill ratio = 0.00
Q5, Opt3: Fill ratio = 0.36
Q6, Opt0: Fill ratio = 0.00
Q6, Opt1: Fill ratio = 0.15
Q6, Opt2: Fill ratio = 0.00
Q6, Opt3: Fill ratio = 0.39
Q7, Opt0: Fill ratio = 0.00
Q7, Opt1: Fill ratio = 0.14
Q7, Opt2: Fill ratio = 0.00
Q7, Opt3: Fill ratio = 0.44
Q8, Opt0: Fill ratio = 0.00
Q8, Opt1: Fill ratio = 0.13
Q8, Opt2: Fill ratio = 0.00
Q8, Opt3: Fill ratio = 0.50
Q9, Opt0: Fill ratio = 0.00
Q9, Opt1: Fill ratio = 0.12
Q9, Opt2: Fill ratio = 0.00
Q9, Opt3: Fill ratio = 0.53
Q10, Opt0: Fill ratio = 0.00
Q10, Opt1: Fill ratio = 0.12
Q10, Opt2: Fill ratio = 0.00
Q10, Opt3: Fill ratio = 0.56
Q11, Opt0: Fill ratio = 0.00
Q11, Opt1: Fill ratio = 0.13
Q11, Opt2: Fill ratio = 0.04
Q11, Opt3: Fill ratio = 0.61
Q12, Opt0: Fill ratio = 0.00
Q12, Opt1: Fill ratio = 0.16
Q12, Opt2: Fill ratio = 0.05
Q12, Opt3: Fill ratio = 0.61
Q13, Opt0: Fill ratio = 0.00
Q13, Opt1: Fill ratio = 0.26
Q13, Opt2: Fill ratio = 0.08
Q13, Opt3: Fill ratio = 0.68
Q14, Opt0: Fill ratio = 0.00
Q14, Opt1: Fill ratio = 0.18
Q14, Opt2: Fill ratio = 0.13
Q14, Opt3: Fill ratio = 0.76
Q15, Opt0: Fill ratio = 0.00
Q15, Opt1: Fill ratio = 0.13
Q15, Opt2: Fill ratio = 0.16
Q15, Opt3: Fill ratio = 0.77
Q16, Opt0: Fill ratio = 0.00
Q16, Opt1: Fill ratio = 0.13
Q16, Opt2: Fill ratio = 0.22
Q16, Opt3: Fill ratio = 0.75
Q17, Opt0: Fill ratio = 0.00
Q17, Opt1: Fill ratio = 0.15
Q17, Opt2: Fill ratio = 0.25
Q17, Opt3: Fill ratio = 0.71
Q18, Opt0: Fill ratio = 0.00
Q18, Opt1: Fill ratio = 0.14
Q18, Opt2: Fill ratio = 0.27
Q18, Opt3: Fill ratio = 0.72
Q19, Opt0: Fill ratio = 0.00
Q19, Opt1: Fill ratio = 0.18
Q19, Opt2: Fill ratio = 0.28
Q19, Opt3: Fill ratio = 0.69
Q20, Opt0: Fill ratio = 0.00
Q20, Opt1: Fill ratio = 0.18
Q20, Opt2: Fill ratio = 0.33
Q20, Opt3: Fill ratio = 0.67
Q21, Opt0: Fill ratio = 0.00
Q21, Opt1: Fill ratio = 0.18
Q21, Opt2: Fill ratio = 0.33
Q21, Opt3: Fill ratio = 0.62
Q22, Opt0: Fill ratio = 0.00
Q22, Opt1: Fill ratio = 0.13
Q22, Opt2: Fill ratio = 0.36
Q22, Opt3: Fill ratio = 0.62
Q23, Opt0: Fill ratio = 0.00
Q23, Opt1: Fill ratio = 0.13
Q23, Opt2: Fill ratio = 0.40
Q23, Opt3: Fill ratio = 0.59
Q24, Opt0: Fill ratio = 0.00
Q24, Opt1: Fill ratio = 0.12
Q24, Opt2: Fill ratio = 0.40
Q24, Opt3: Fill ratio = 0.55
Q25, Opt0: Fill ratio = 0.00
Q25, Opt1: Fill ratio = 0.07
Q25, Opt2: Fill ratio = 0.43
Q25, Opt3: Fill ratio = 0.52
Q26, Opt0: Fill ratio = 0.00
Q26, Opt1: Fill ratio = 0.08
Q26, Opt2: Fill ratio = 0.44
Q26, Opt3: Fill ratio = 0.47
Q27, Opt0: Fill ratio = 0.00
Q27, Opt1: Fill ratio = 0.10
Q27, Opt2: Fill ratio = 0.47
Q27, Opt3: Fill ratio = 0.45
Q28, Opt0: Fill ratio = 0.00
Q28, Opt1: Fill ratio = 0.12
Q28, Opt2: Fill ratio = 0.49
Q28, Opt3: Fill ratio = 0.41
Q29, Opt0: Fill ratio = 0.00
Q29, Opt1: Fill ratio = 0.11
Q29, Opt2: Fill ratio = 0.47
Q29, Opt3: Fill ratio = 0.38
Q30, Opt0: Fill ratio = 0.00
Q30, Opt1: Fill ratio = 0.12
Q30, Opt2: Fill ratio = 0.53
Q30, Opt3: Fill ratio = 0.35
Q31, Opt0: Fill ratio = 0.00
Q31, Opt1: Fill ratio = 0.13
Q31, Opt2: Fill ratio = 0.53
Q31, Opt3: Fill ratio = 0.33
Q32, Opt0: Fill ratio = 0.00
Q32, Opt1: Fill ratio = 0.16
Q32, Opt2: Fill ratio = 0.53
Q32, Opt3: Fill ratio = 0.27
Q33, Opt0: Fill ratio = 0.00
Q33, Opt1: Fill ratio = 0.14
Q33, Opt2: Fill ratio = 0.57
Q33, Opt3: Fill ratio = 0.25
Q34, Opt0: Fill ratio = 0.02
Q34, Opt1: Fill ratio = 0.18
Q34, Opt2: Fill ratio = 0.60
Q34, Opt3: Fill ratio = 0.21
Q35, Opt0: Fill ratio = 0.10
Q35, Opt1: Fill ratio = 0.18
Q35, Opt2: Fill ratio = 0.64
Q35, Opt3: Fill ratio = 0.22
Q36, Opt0: Fill ratio = 0.16
Q36, Opt1: Fill ratio = 0.19
